UUID,Nom français,Nom origine ILCD,Commentaire Général,Niveau de recommandation,Unité de référence,Description,Année de référence,Jeu de données valable jusqu'au,Source des données utilisées,Commanditaire,Format du jeu de données,Origine du jeu de données,Version du dataset
b5c611c6-def3-11e6-bf01-fe55135034f3,Acidification,Acidification,European country-dependent.,II,mol éq. H+,mol H+ equivalents,2017,time independent,Seppälä et al. (2006); Posch et al. (2008),,ILCD format,Seppälä et al. (2006),01.03.009
b5c629d6-def3-11e6-bf01-fe55135034f3,Appauvrissement de la couche d'ozone,Ozone depletion,Based on 1999 WMO assessment (World Meteorological Organization 1999),I,kg éq. CFC 11,kg CFC11 equivalents,2017,until 2040,WMO (1999),World  Meteorological Organization,ILCD  format,Goedkoop  et al. (2008),02.00.012
b2ad6d9a-c78d-11e6-9d9d-cec0c932ce01,Changement climatique,Climate change,Baseline model of the IPCC 2013 + some factors adapted from EF guidance,I,kg éq. CO2,kg CO2 Equivalents,2017,time independent,,Intergovernmental  Panel on Climate Change,ILCD  format,IPCC 2013,04.00.016
0db6bc32-3f72-48b9-bdb3-617849c2752f,Changement climatique - Biogénique,Climate change-Biogenic,Baseline model of the IPCC 2013 + some factors adapted from EF guidance,I,kg éq. CO2,kg CO2-Equivalents,2017,time independent,,Intergovernmental  Panel on Climate Change,ILCD  format,IPCC 2013,01.00.005
2105d3ac-c7c7-4c80-b202-7328c14c66e8,Changement climatique - Fossile,Climate change-Fossil,Baseline model of the IPCC 2013 + some factors adapted from EF guidance,I,kg éq. CO2,kg CO2 Equivalents,2017,time independent,,Intergovernmental  Panel on Climate Change,ILCD  format,IPCC 2013,01.00.008
b53ec18f-7377-4ad3-86eb-cc3f4f276b2b,Eutrophisation eaux douces,"Eutrophication, freshwater",European validity. Averaged characterization factors from country dependent characterization factors.,II,kg éq. P,kg P equivalents,2017,time independent,Struijs et al. (2008),"Ministry of Housing, Spatial Planning and Environment (VROM)",ILCD format,Struijs et al. (2008),01.00.010
b5c619fa-def3-11e6-bf01-fe55135034f3,Eutrophisation marine,Eutrophication marine,European validity. Averaged characterization factors from country dependent characterization factors.,II,kg éq. N,kg N equivalents,2017,time independent,Struijs et al. (2008),"Ministry of Housing, Spatial Planning and Environment (VROM)",ILCD format,Struijs et al. (2008),02.00.010
b5c614d2-def3-11e6-bf01-fe55135034f3,Eutrophisation terrestre,"Eutrophication, terrestrial",European country-dependent.,II,mol éq. N,mol N equivalents,2107,time independent,Seppälä et al. (2006),,ILCD format,Posch et al. (2008),01.02.009
b5c610fe-def3-11e6-bf01-fe55135034f3,Formation d'ozone photochimique,Photochemical ozone formation - human health,Only for Europe. Includes spatial differentiation.,II,kg éq. COVNM,kg NMVOC equivalents,2017,time independent,Van Zelm et al. (2008),"Ministry of Housing, Spatial Planning and Environment (VROM)",ILCD format,Van Zelm et al. (2008),02.00.013
b5c602c6-def3-11e6-bf01-fe55135034f3,Particules,EF-particulate Matter,The indicator is calculated applying the average slope between the Emission Response Function (ERF) working point and the theoretical minimum-risk level,I,incidence de maladie,disease incidence,2017,time independent,,UNEP/SETAC Initiative,ILCD format,Fantke et. al,02.00.011
b5c632be-def3-11e6-bf01-fe55135034f3,Radiations ionisantes,"Ionising radiation, human health",Valid on global and European scale.,II,éq. kBq U235,kBq U235 equivalents,2017,time independent,Frischknecht  et al. (2000),ESU-services  Ltd.,ILCD  format,Goedkoop  et al. (2008),01.00.011
b2ad6110-c78d-11e6-9d9d-cec0c932ce01,Utilisation de ressources fossiles,"Resource use, fossils","ADP for energy carriers, based on van Oers et al. 2002 as implemented in CML, v. 4.8 (2016)",III,MJ,MJ,2017,time independent,,"Dutch  Ministry of Transport, Public Works and Water Management",ILCD  format,Van Oers  et. al 2002,01.00.010
b2ad6494-c78d-11e6-9d9d-cec0c932ce01,Utilisation de ressources minérales et métalliques,"Resource use, minerals and metals","ADP for mineral and metal resources, based on van Oers et al. 2002 as implemented in CML, v. 4.8 (2016)",III,kg éq. Sb,kg Sb equivalents,2017,time independent,,"Dutch  Ministry of Transport, Public Works and Water Management",ILCD  format,Van Oers  et. al 2002,01.00.010
b2ad6890-c78d-11e6-9d9d-cec0c932ce01,Utilisation des sols,Land use,CFs set was re-Calculated by JRC starting from LANCAÂ® v 2.2 as baseline model. Out of 5  original indicator only 4 have been included in the aggregation (physico-chemical filtration  was excluded due to the high correlation with the mechanical filtration),III,sans dimension (pt),dimensionless (pt),2017,time independent,,Fraunhofer Institute for Building Physics; Department Life Cycle Engineering,ILCD format,Bos et. al 2016,01.00.010
